id,session_id,question,correct_answer,user_answer,is_correct,reaction_time_ms,created_at
54,17,Car,Car,Car,1,436.0,2026-09-04 20:23:11.931552+00:00
55,17,Temple,Not target,Temple,0,408.0,2026-09-04 20:23:11.931552+00:00
56,17,Car,Car,Car,1,753.0,2026-09-04 20:23:11.931552+00:00
57,17,Car,Car,Car,1,443.0,2026-09-04 20:23:11.931552+00:00
58,17,Car,Car,Car,1,1672.0,2026-09-04 20:23:11.931552+00:00
59,17,Tea,Not target,Tea,0,448.0,2026-09-04 20:23:11.931552+00:00
60,18,Missing element,Green,Green,1,1725.0,2026-09-04 20:32:43.330560+00:00
61,18,Missing element,Orange,Orange,1,1376.0,2026-09-04 20:32:43.330560+00:00
62,18,Missing element,Red,Red,1,1404.0,2026-09-04 20:32:43.330560+00:00
63,18,Missing element,Pink,Pink,1,1419.0,2026-09-04 20:32:43.330560+00:00
64,18,Missing element,Green,Green,1,1364.0,2026-09-04 20:32:43.330560+00:00
65,18,Missing element,Teal,Teal,1,1500.0,2026-09-04 20:32:43.330560+00:00
66,18,Missing element,Purple,Purple,1,1401.0,2026-09-04 20:32:43.330560+00:00
67,18,Missing element,Orange,Orange,1,1593.0,2026-09-04 20:32:43.330560+00:00
68,18,Missing element,Pink,Pink,1,2341.0,2026-09-04 20:32:43.330560+00:00
69,19,Missing element,Pink,Pink,1,1705.0,2026-09-04 20:33:08.484550+00:00
70,19,Missing element,Purple,Purple,1,1029.0,2026-09-04 20:33:08.484550+00:00
71,19,Missing element,Pink,Pink,1,1204.0,2026-09-04 20:33:08.484550+00:00
72,19,Missing element,Orange,Orange,1,993.0,2026-09-04 20:33:08.484550+00:00
73,19,Missing element,Red,Red,1,1503.0,2026-09-04 20:33:08.484550+00:00
74,19,Missing element,Orange,Orange,1,1044.0,2026-09-04 20:33:08.484550+00:00
75,19,Missing element,Orange,Orange,1,1082.0,2026-09-04 20:33:08.484550+00:00
76,19,Missing element,Red,Red,1,1348.0,2026-09-04 20:33:08.484550+00:00
77,19,Missing element,Yellow,Yellow,1,1290.0,2026-09-04 20:33:08.484550+00:00
78,19,Missing element,Purple,Purple,1,1070.0,2026-09-04 20:33:08.484550+00:00
79,19,Missing element,Teal,Teal,1,1280.0,2026-09-04 20:33:08.484550+00:00
80,19,Missing element,Purple,Purple,1,1045.0,2026-09-04 20:33:08.484550+00:00
81,26,Reaction 1,Tap,Tap,1,558.0,2026-09-04 20:45:24.681797+00:00
82,26,Reaction 2,Tap,Tap,1,751.0,2026-09-04 20:45:24.681797+00:00
83,26,Reaction 3,Tap,Tap,1,797.0,2026-09-04 20:45:24.681797+00:00
84,26,Reaction 4,Tap,Tap,1,614.0,2026-09-04 20:45:24.681797+00:00
85,26,Reaction 5,Tap,Tap,1,710.0,2026-09-04 20:45:24.681797+00:00
86,27,Reaction 1,Tap,Tap,1,558.0,2026-09-04 20:45:24.721967+00:00
87,27,Reaction 2,Tap,Tap,1,751.0,2026-09-04 20:45:24.721967+00:00
88,27,Reaction 3,Tap,Tap,1,797.0,2026-09-04 20:45:24.721967+00:00
89,27,Reaction 4,Tap,Tap,1,614.0,2026-09-04 20:45:24.721967+00:00
90,27,Reaction 5,Tap,Tap,1,710.0,2026-09-04 20:45:24.721967+00:00
91,28,Reaction 1,Tap,Tap,1,364.0,2026-09-04 20:45:37.301184+00:00
92,28,Reaction 2,Tap,Tap,1,442.0,2026-09-04 20:45:37.301184+00:00
93,28,Reaction 3,Tap,Tap,1,377.0,2026-09-04 20:45:37.301184+00:00
94,28,Reaction 4,Tap,Tap,1,690.0,2026-09-04 20:45:37.301184+00:00
95,28,Reaction 5,Tap,Tap,1,506.0,2026-09-04 20:45:37.301184+00:00
96,29,Reaction 1,Tap,Tap,1,364.0,2026-09-04 20:45:37.301797+00:00
97,29,Reaction 2,Tap,Tap,1,442.0,2026-09-04 20:45:37.301797+00:00
98,29,Reaction 3,Tap,Tap,1,377.0,2026-09-04 20:45:37.301797+00:00
99,29,Reaction 4,Tap,Tap,1,690.0,2026-09-04 20:45:37.301797+00:00
100,29,Reaction 5,Tap,Tap,1,506.0,2026-09-04 20:45:37.301797+00:00
101,30,Reaction 1,Tap,Tap,1,405.0,2026-09-04 20:45:49.428232+00:00
102,30,Reaction 2,Tap,Tap,1,269.0,2026-09-04 20:45:49.428232+00:00
103,30,Reaction 3,Tap,Tap,1,314.0,2026-09-04 20:45:49.428232+00:00
104,30,Reaction 4,Tap,Tap,1,199.0,2026-09-04 20:45:49.428232+00:00
105,30,Reaction 5,Tap,Tap,1,443.0,2026-09-04 20:45:49.428232+00:00
106,31,Reaction 1,Tap,Tap,1,405.0,2026-09-04 20:45:49.428985+00:00
107,31,Reaction 2,Tap,Tap,1,269.0,2026-09-04 20:45:49.428985+00:00
108,31,Reaction 3,Tap,Tap,1,314.0,2026-09-04 20:45:49.428985+00:00
109,31,Reaction 4,Tap,Tap,1,199.0,2026-09-04 20:45:49.428985+00:00
110,31,Reaction 5,Tap,Tap,1,443.0,2026-09-04 20:45:49.428985+00:00
111,32,🍎,Apple,Apple,1,7682.0,2026-09-04 20:50:29.749321+00:00
112,32,🌙,Moon,Moon,1,3779.0,2026-09-04 20:50:29.749321+00:00
113,32,I drink ____ every morning.,water,water,1,7683.0,2026-09-04 20:50:29.749321+00:00
114,33,We sleep at ____.,night,night,1,5016.0,2026-09-04 20:50:50.585969+00:00
115,33,Today I went to ____.,market,market,1,3830.0,2026-09-04 20:50:50.585969+00:00
116,33,🏠,House,Home,0,4933.0,2026-09-04 20:50:50.585969+00:00
117,33,📚,Book,Paper,0,3813.0,2026-09-04 20:50:50.585969+00:00
